geography,year,occupancy_label,target,predictor,n_obs,r_squared,intercept,coef,p_value,mse
Cherokee,2022,Investment_Property,total_apps,tract_owner_occupied_units,55,0.0008339670464797555,17.468579932733714,-0.0009672622180116218,0.8342195304998256,265.1043470111818
Cherokee,2022,Investment_Property,total_apps,tract_minority_population_percent,55,0.14313966181266713,2.6002653248308207,0.5329978928698134,0.004398338873592166,227.34700034133388
Cherokee,2022,Investment_Property,total_apps,tract_median_age_of_housing_units,55,0.019942067047085676,23.71058187539502,-0.32805292954829696,0.30376240127663845,260.0344785346574
Cherokee,2022,Investment_Property,total_apps,tract_to_msa_income_percentage,55,0.08956599285476852,34.98613620590687,-0.163404489383521,0.026442202444676568,241.56146726440798
Cherokee,2022,Investment_Property,denial_rate,tract_owner_occupied_units,54,0.09689049913301373,0.042633686046899134,8.721386633177161e-05,0.02195786582771749,0.016918606967655625
Cherokee,2022,Investment_Property,denial_rate,tract_minority_population_percent,54,0.0162907917831141,0.18934828488915378,-0.0014995562096522322,0.35770462840671446,0.01842853989279031
Cherokee,2022,Investment_Property,denial_rate,tract_median_age_of_housing_units,54,0.008919723494432374,0.19260789302673675,-0.0018454776080402899,0.49694624417952016,0.0185666274748479
Cherokee,2022,Investment_Property,denial_rate,tract_to_msa_income_percentage,54,0.025333221961174046,0.06753148346537394,0.0007266230088098009,0.2503121331972102,0.01825914147314331
Cherokee,2022,Investment_Property,conversion_rate,tract_owner_occupied_units,55,0.09943037072248839,0.7614367957751171,-0.00011195338439738757,0.019028272864558656,0.026848023625753007
Cherokee,2022,Investment_Property,conversion_rate,tract_minority_population_percent,55,0.0010377964038965626,0.6353662157696452,-0.0004810713550264488,0.8153850254741526,0.02978132947354569
Cherokee,2022,Investment_Property,conversion_rate,tract_median_age_of_housing_units,55,6.597312092582186e-05,0.6184910162484452,0.00020000933577658808,0.9530679436566456,0.029810301730229704
Cherokee,2022,Investment_Property,conversion_rate,tract_to_msa_income_percentage,55,0.004952229025944499,0.5763824362122414,0.0004072871339853082,0.6096734179766938,0.02966463135704084
